epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
27,1664.83,1.56089,0.51696,0,1.28027,1.71089,10.5242,0.83351,0.80578,0.85716,0.51672,0.80629,0.78297,0.79726,0.77001,1.38373,0.79253,0,1.05319,1.63639,0,0.0009704,0.0009704,0.0009704
28,1726.08,1.55145,0.48495,0,1.26705,1.71256,10.1732,0.83191,0.77089,0.84268,0.50711,0.77249,0.78979,0.78795,0.76192,1.38322,0.78802,0,1.08945,1.62768,0,0.0009308,0.0009308,0.0009308
29,1787.15,1.55264,0.50914,0,1.2418,1.70567,10.348,0.80946,0.79128,0.82198,0.48613,0.7718,0.77466,0.76715,0.73829,1.40463,0.79015,0,1.14024,1.64083,0,0.0008912,0.0008912,0.0008912
30,1848.09,1.50792,0.50227,0,1.21698,1.68935,10.1915,0.86903,0.81303,0.87428,0.52623,0.82352,0.79543,0.81407,0.78242,1.37341,0.78892,0,1.01967,1.60932,0,0.0008516,0.0008516,0.0008516
31,1909.19,1.5122,0.51293,0,1.21174,1.6785,10.1097,0.87221,0.8162,0.88228,0.52627,0.83341,0.79439,0.81448,0.78952,1.38498,0.80622,0,1.05566,1.61021,0,0.000812,0.000812,0.000812
32,1970.16,1.51437,0.51955,0,1.20024,1.67603,10.0151,0.86815,0.79313,0.87677,0.53082,0.82787,0.77914,0.8101,0.78262,1.36398,0.79557,0,1.03997,1.61033,0,0.0007724,0.0007724,0.0007724
33,2031.18,1.51364,0.49273,0,1.20157,1.67581,9.70412,0.87624,0.80876,0.87627,0.52721,0.83488,0.78297,0.80187,0.7733,1.36728,0.79036,0,1.01813,1.60545,0,0.0007328,0.0007328,0.0007328
34,2092.35,1.50339,0.52884,0,1.17993,1.67758,9.97811,0.87268,0.81851,0.87736,0.52956,0.8421,0.80997,0.81883,0.79104,1.36229,0.79679,0,1.05889,1.61475,0,0.0006932,0.0006932,0.0006932
35,2153.25,1.49155,0.49313,0,1.17427,1.65727,9.71647,0.87013,0.81412,0.88518,0.53363,0.83877,0.79543,0.82127,0.79253,1.3512,0.80129,0,1.02101,1.59195,0,0.0006536,0.0006536,0.0006536
36,2214.17,1.47529,0.49119,0,1.14196,1.64019,9.45278,0.9018,0.81059,0.89015,0.54741,0.83307,0.80166,0.82124,0.79274,1.3344,0.79665,0,0.97477,1.57105,0,0.000614,0.000614,0.000614
